startid	endid	title
02033012	02033023	Presence and Glory
02034001	02034009	Yahweh’s Description of Himself
02034010	02034027	Covenant Stipulations
02034028	02034035	The Shining Face of Moses
02035001	02036001	Preparation of Materials and People for Building
02036002	02036038	Making the Tabernacle
02037001	02037009	Making the Ark of the Covenant
02037010	02037024	Making the Table and the Lampstand
02037025	02037029	Making the Incense Altar and Anointing Oil
02038001	02038008	Making the Bronze Altar and the Basin
02038009	02038020	Making the Courtyard
02038021	02038031	Amounts of Gold, Silver, and Bronze Used
02039001	02039031	Making Garments for Priests
02039032	02039043	Preparations Complete
02040001	02040038	Completion of the Tabernacle
03001001	03001017	Laws for Burnt Offerings
03002001	03002016	Laws for Grain Offerings
03003001	03003017	Laws for Fellowship Offerings
03004001	03004035	Laws for Sin Offerings
03005001	03005013	More Laws Regarding Sin Offerings
03005014	03005019	Laws for Guilt Offerings
03006001	03006013	Additional Laws for Burnt Offerings
03006014	03006023	Additional Laws for Grain Offerings
03006024	03006030	Additional Laws for Sin Offerings
03007001	03007007	Additional Laws for Guilt Offerings
03007008	03007010	Portions for the Priests
03007011	03007021	Additional Laws for Fellowship Offerings
03007022	03007027	Instructions for the People
03007028	03007036	Portions of Fellowship Offerings for Priests
03007037	03007038	Concluding Summary Concerning the Offerings
03008001	03008013	Installing the Priests
03008014	03008029	The Offerings for Consecration
03008030	03008036	Anointing the Priests and Their Garments
03009001	03009024	Worship at the Tent of Assembly
03010001	03010007	The Deaths of Nadab and Abihu
03010008	03010015	Lasting Statutes
03010016	03010020	The Problem of the Uneaten Sin Offering
03011001	03011047	Clean and Unclean Animals
03012001	03012008	Purification After Childbirth
03013001	03013046	Regulations About Defiling Skin Diseases
03013047	03013059	Regulations About Contaminated Fabrics
03014001	03014032	Instructions for Cleansing Infectious Skin Diseases
03014033	03014057	Instructions for Cleansing Houses
03015001	03015033	Instructions About Bodily Discharges
03016001	03016034	The Day of Atonement
03017001	03017007	The Place of Sacrifice
03017008	03017016	Instructions Against Eating Blood
03018001	03018030	Unlawful Sexual Relations
03019001	03019008	Yahweh Is Holy
03019009	03019018	Love Your Neighbor as Yourself
03019019	03019037	You Shall Keep My Statutes
03020001	03020008	Molech Worship and Spiritism
03020009	03020021	Family and Sexual Offenses
03020022	03020027	You Shall Be Holy
03021001	03021024	Regulations Concerning Priests
03022001	03022016	Priests and Their Food
03022017	03022033	Acceptable Offerings
03023001	03023002	Yahweh’s Feasts
03023003	03023003	Yahweh’s Sabbath
03023004	03023008	The Passover
03023009	03023014	The Feast of Firstfruits
03023015	03023022	The Feast of Weeks
03023023	03023025	The Feast of Trumpets
03023026	03023032	The Day of Atonement
03023033	03023036	The Feast of Booths
03023037	03023044	Summary
03024001	03024009	The Sanctuary’s Lamp and Bread
03024010	03024023	Punishment for Blasphemy
03025001	03025007	The Sabbath Year
03025008	03025055	The Year of Jubilee
03026001	03026013	Blessings for Obedience
03026014	03026046	Punishment for Disobedience
03027001	03027034	Instructions About Vows
04001001	04001054	God Commands Moses to Take a Census
04002001	04002034	The Arrangement of the Camps
04003001	04003051	Aaron’s Sons
04004001	04004049	The Census of the Kohathites
04005001	04005004	Rules Concerning Those Unclean
04005005	04005010	Rules of Restitution
04005011	04005031	Rules Concerning an Unfaithful Wife
04006001	04006021	Rules Concerning Nazirites
04006022	04006027	The Priestly Blessing
04007001	04007089	The Leaders Make Offerings
04008001	04008004	The Seven Lamps
04008005	04008026	Moses Consecrates the Levites
04009001	04009014	The Passover
04009015	04009023	The Cloud and the Fire
04010001	04010010	The Silver Trumpets
04010011	04010036	The Israelites Depart from Sinai
04011001	04011030	The Israelites Complain
04011031	04011035	The Quail
04012001	04012016	Aaron and Miriam Murmur Against Moses
04013001	04013024	Spies Sent to Spy Out the Land of Canaan
04013025	04013033	The Spies Return
04014001	04014045	The People Complain
04015001	04015031	Various Sacrifices and Offerings
04015032	04015036	Violation of the Sabbath
04015037	04015041	Garment Fringes
04016001	04016040	Korah, Dathan, and Abiram Rebel
04016041	04016050	The Israelites Grumble
04017001	04017013	Aaron’s Staff Is Chosen
04018001	04018007	The Duties of the Priests and Levities
04018008	04018032	Portions for the Priests
04019001	04019022	Ashes of the Red Heifer
04020001	04020021	Miriam Dies
04020022	04020029	Aaron Dies
04021001	04021005	Arad Captured
04021006	04021020	The Bronze Serpent
04021021	04021035	Sihon and Og Defeated
04022001	04022021	Balak and Balaam
04022022	04022041	Balaam and the Angel
04023001	04023030	Balaam’s Oracles
04024001	04024025	Balaam Continues to Utter Oracles
04025001	04025018	The Plague of Israel
04026001	04026065	A New Census
04027001	04027014	Laws of Inheritance
04027015	04027023	Joshua Succeeds Moses
04028001	04028025	Daily Sacrifice
04028026	04028031	Offerings for the Festival of Weeks
04029001	04029006	Offers for the Seventh Month
04029007	04029040	Offerings for the Day of Atonement
04030001	04030016	Laws for Vows
04031001	04031024	War Against the Midianites
04031025	04031054	Division of the War-Booty
04032001	04032042	Gad and Reuben Inherit Gilead
04033001	04033056	The Travels Are Recounted
04034001	04034029	The Land of Canaan Is Divided
04035001	04035008	Cities for the Levites
04035009	04035034	Cities of Refuge
04036001	04036013	Inheritance Through Marriage
05001001	05001005	Preamble
05001006	05003029	Historical Prologue
05004001	05004049	Introduction to the Stipulations
05005001	05005033	Basic Stipulations
05006001	05011032	Detailed Stipulations
05012001	05026019	Detailed Stipulations: Purity and Unity
05027001	05027010	Ceremonies
05027011	05028068	Blessings and Curses
05029001	05030020	Covenant Renewal, Oaths, Restoration, Charges to the Nation
05031001	05031030	Succession, Deposition, and Recitation of Text
05032001	05032047	The Song of Moses
05032048	05032052	Instructions Concerning Moses’ Death
05033001	05033029	Blessings of Moses on Israel
05034001	05034012	The Death of Moses and the Commissioning of Joshua
06001001	06001018	Joshua Addresses the Israelites
06002001	06002024	Spies View the Land
06003001	06003017	The Israelites Cross the Jordan
06004001	06004024	The Israelites Make a Memorial
06005001	06005007	The Israelites Are Circumcised
06005008	06005012	The Israelites Celebrate Passover in Canaan
06005013	06005015	The Commander of Yahweh’s Army Appears Before Joshua
06006001	06006027	The Battle of Jericho
06007001	06007026	The Sin of Achan
06008001	06008029	Ai Is Destroyed
06008030	06008035	Israel Renews the Covenant
06009001	06009027	The Gibeonites Act with Cunning
06010001	06010015	The Sun Stands Still at Gibeon
06010016	06010028	The Kings of the Amorites Are Killed
06010029	06010043	Joshua’s Conquest of the South
06011001	06011015	Joshua’s Conquest of the North
06011016	06011023	A Review of Joshua’s Conquests
06012001	06012006	The Kings Conquered by Joshua
06012007	06012024	The Kings Conquered by Moses
06013001	06013014	Land Still Remains to be Conquered
06013015	06013023	Reuben’s Inheritance
06013024	06013028	Gad’s Inheritance
06013029	06013033	The Half-Tribe of Manasseh’s Inheritance
06014001	06014005	The Land Allotted West of the Jordan
06014006	06014015	Caleb Receives Hebron
06015001	06015019	The Allotment of Judah
06015020	06015063	The Cities of Judah
06016001	06016010	The Allotment of Ephraim and Manasseh
06017001	06017013	The Allotment of the Other Half-Tribe of Manasseh
06017014	06017018	The Tribes of Joseph Object
06018001	06018010	The Last of the Land Is Divided
06018011	06018028	The Allotment of Benjamin
06019001	06019009	The Allotment of Simeon
06019010	06019016	The Allotment of Zebulun
06019017	06019023	The Allotment of Issachar
06019024	06019031	The Allotment of Asher
06019032	06019039	The Allotment of Naphtali
06019040	06019048	The Allotment of Dan
06019049	06019051	The Allotment Is Completed
06020001	06020009	Cities of Refuge Are Established
06021001	06021045	The Allotment of the Levites
06022001	06022034	The Eastern Tribes Return
06023001	06023016	Joshua’s Farewell Address
06024001	06024013	Joshua Recounts Their History
06024014	06024033	The Israelites Promise to Serve Yahweh
07001001	07001036	Israel Continues Its Conquest
07002001	07002005	Israel Disobeys Yahweh
07002006	07002010	Joshua Dies
07002011	07002023	Israel Worships the Baals
07003001	07003006	Some Nations Remain in the Land
07003007	07003011	Othniel
07003012	07003030	Ehud
07003031	07003031	Shamgar
07004001	07004024	Deborah and Barak
07005001	07005031	The Song of Deborah and Barak
07006001	07006010	The Midianites Oppresses Israel
07006011	07006027	The Angel of Yahweh Calls Gideon
07006028	07006035	Gideon Destroys the Altar of Baal
07006036	07006040	Gideon Tests Yahweh With the Fleece
07007001	07007025	Gideon’s Three Hundred Men
07008001	07008028	Gideon Pursues Zebah and Zalmunna
07008029	07008035	The Death of Gideon
07009001	07009021	Abimelech Attempts to Become King
07009022	07009057	The Downfall of Shechem and Abimelech
